 ES
ES NOTICIA
la qual
qual cosa
cosa té
té conseqüències
conseqüències en
en la
la construcció
construcció de
de la
la identitat
identitat personal
personal en
en la
la gestió
gestió de
de la
la intimitat
intimitat i
i en
en l
l autoestima
autoestima Els
Els investigadors
investigadors parlen
parlen d
d un
un canvi
canvi social
social relacionat
relacionat amb
amb la
la transformació
transformació de
de la
la intimitat
intimitat Les
Les societats
societats més
més occidentals
occidentals han
han passat
passat de
de viure
viure la
la seva
seva intimitat
intimitat en
en l
l àmbit
àmbit privat
privat a
a exhibir
exhibir la
la a
a les
les xarxes
xarxes socials
socials com
com si
si fos
fos un
un espectacle
espectacle on
on sovintegen
sovintegen les
les orientacions
orientacions narcisistes
narcisistes especialment
especialment i
i d
d una
una forma
forma més
més intensa
intensa internautes
internautes del
del grup
grup més
més jove
jove Tothom
Tothom tenim
tenim trets
trets narcisistes
narcisistes a
a més
més la
la societat
societat individualista
individualista els
els conforma
conforma i
i potencia
potencia El
El punt
punt essencial
essencial de
de la
la qüestió
qüestió és
és que
que amb
amb tota
tota la
la gamma
gamma de
de grisos
grisos aquests
aquests trets
trets narcisistes
narcisistes poden
poden ser
ser en
en un
un extrem
extrem del
del continum
continum simplement
simplement anecdòtics
anecdòtics en
en algunes
algunes persones
persones i
i en
en l
l altre
altre extrem
extrem profundament
profundament patològics
patològics en
en d
d altres
altres Vull
Vull insistir
insistir en
en el
el fet
fet que
que l
l ús
ús de
de les
les xarxes
xarxes socials
socials no
no és
és sinònim
sinònim de
de narcisisme
narcisisme Moltes
Moltes persones
persones les
les utilitzen
utilitzen per
per comunicar
comunicar se
se mitjançant
mitjançant formes
formes d
d expressió
expressió artística
artística o
o senzillament
senzillament com
com una
una manera
manera de
de saludar
saludar diàriament
diàriament amb
amb un
un bon
bon dia
dia els
els amics
amics i
i seguidors
seguidors De
De buscar
buscar i
i manifestar
manifestar companyia
companyia i
i afecte
afecte El
El narcisisme
narcisisme patològic
patològic és
és un
un conjunt
conjunt de
de comportaments
comportaments que
que inclou
inclou sentiments
sentiments d
d auto
auto importància
importància necessitat
necessitat de
de poder
poder i
i admiració
admiració insistència
insistència en
en la
la pròpia
pròpia imatge
imatge en
en mostrar
mostrar se
se en
en presentar
presentar els
els èxits
èxits aconseguits
aconseguits i
i en
en la
la incapacitat
incapacitat de
de sentir
sentir empatia
empatia Centrats
Centrats en
en l
l auto
auto exageració
exageració la
la vanaglòria
vanaglòria i
i el
el menyspreu
menyspreu els
els narcisistes
narcisistes són
són incapaços
incapaços per
per llacunes
llacunes d
d autoconsciència
autoconsciència d
d identificar
identificar o
o reconèixer
reconèixer haver
haver ferit
ferit els
els sentiments
sentiments d
d algú
algú tampoc
tampoc de
de ser
ser la
la causa
causa de
de problemes
problemes en
en un
un entorn
entorn grupal
grupal Es
Es preocupen
preocupen tant
tant de
de si
si mateixos
mateixos es
es tenen
tenen el
el peus
peus tan
tan enfonsats
enfonsats en
en el
el fang
fang de
de la
la supèrbia
supèrbia que
que no
no s
s adonen
adonen de
de les
les emocions
emocions dels
dels altres
altres i
i són
són incapaços
incapaços de
de tenir
tenir ne
ne cura
cura La
La investigació
investigació identifica
identifica dos
dos tipus
tipus de
de narcisistes
narcisistes patològics
patològics a
a els
els denominats
denominats vulnerables
vulnerables els
els quals
quals mancats
mancats d
d autoestima
autoestima realitzen
realitzen grans
grans esforços
esforços per
per defensar
defensar el
el seu
seu ego
ego el
el seu
seu jo
jo i
i b
b els
els grandiloqüents
grandiloqüents els
els que
que estan
estan absolutament
absolutament convençuts
convençuts de
de la
la seva
seva magnificiència
magnificiència i
i superioritat
superioritat Les
Les troballes
troballes al
al laboratori
laboratori demostren
demostren una
una inequívoca
inequívoca relació
relació entre
entre el
el narcisisme
narcisisme i
i les
les conductes
conductes en
en les
les xarxes
xarxes socials
socials el
el temps
temps de
de connexió
connexió el
el nombre
nombre de
de selfies
selfies i
i la
la freqüència
freqüència dels
dels tuits
tuits Pel
Pel que
que sembla
sembla les
les persones
persones que
que presenten
presenten un
un alt
alt grau
grau de
de sentiments
sentiments de
de superioritat
superioritat prefereixen
prefereixen Twitter
Twitter mentre
mentre que
que les
les que
que presenten
presenten un
un alt
alt grau
grau d
d exhibicionisme
exhibicionisme prefereixen
prefereixen Facebook
Facebook i
i Instagram
Instagram plataformes
plataformes on
on la
la imatge
imatge té
té tant
tant o
o més
més pes
pes que
que el
el text
text Les
Les persones
persones que
que presenten
presenten trets
trets de
de personalitat
personalitat narcisista
narcisista solen
solen estar
estar centrades
centrades en
en si
si mateixes
mateixes i
i tendeixen
tendeixen a
a creure
creure que
que són
són úniques
úniques i
i especials
especials per
per la
la qual
qual cosa
cosa donen
donen per
per fet
fet que
que els
els seus
seus amics
amics o
o seguidors
seguidors a
a les
les xarxes
xarxes volen
volen estar
estar informats
informats del
del que
que fan
fan del
del que
que pensen
pensen i
i senten
senten En
En definitiva
definitiva tendeixen
tendeixen a
a voler
voler exercir
exercir el
el poder
poder A
A col
col locar
locar la
la seva
seva autoafirmació
autoafirmació per
per damunt
damunt de
de tothom
tothom Aquestes
Aquestes troballes
troballes ens
ens condueixen
condueixen a
a una
una altra
altra aresta
aresta d
d aquesta
aquesta història
història certament
certament complexa
complexa a
a l
l existència
existència de
de diferències
diferències entre
entre homes
homes i
i dones
dones Com
Com a
a mínim
mínim avui
avui dia
dia homes
homes i
i dones
dones mostren
mostren diferències
diferències amb
amb relació
relació als
als narcisismes
narcisismes a
a les
les xarxes
xarxes socials
socials diferències
diferències quantitatives
quantitatives i
i qualitatives
qualitatives amb
amb taxes
taxes més
més elevades
elevades entre
entre els
els homes
homes 8
8 de
de la
la població
població masculina
masculina que
que entre
entre les
les dones
dones 5
5 de
de la
la població
població femenina
femenina Els
Els homes
homes puntuen
puntuen lleugerament
lleugerament més
més alt
alt que
que les
les dones
dones en
en termes
termes de
de sentiments
sentiments i
i necessitats
necessitats d
d autoritat
autoritat i
i lideratge
lideratge Una
Una dada
dada d
d allò
allò més
més interessant
interessant és
és que
que no
no hi
hi ha
ha diferències
diferències significatives
significatives entre
entre ambdós
ambdós gèneres
gèneres quant
quant a
a les
les conductes
conductes d
d exhibicionisme
exhibicionisme dels
dels narcisistes
narcisistes en
en les
les xarxes
xarxes socials
socials Fonts
Fonts de
de procedència
procedència diversa
diversa ens
ens indiquen
indiquen que
que les
les xarxes
xarxes socials
socials sovint
sovint tenen
tenen un
un impacte
impacte negatiu
negatiu en
en les
les dones
dones fins
fins i
i tot
tot en
en els
els seus
seus propis
propis nivells
nivells de
de narcisisme
narcisisme i
i comportaments
comportaments relacionats
relacionats Les
Les noies
noies les
les utilitzen
utilitzen més
més que
que els
els nois
nois el
el 43
43 de
de les
les noies
noies de
de 15
15 anys
anys estan
estan connectades
connectades com
com a
a mínim
mínim una
una hora
hora al
al dia
dia pel
pel que
que fa
fa als
als nois
nois el
el percentatge
percentatge se
se situa
situa en
en el
el 31
31 The
The Social
Social Media
Media Family
Family 2021
2021 Aquestes
Aquestes noies
noies internautes
internautes també
també declaren
declaren nivells
nivells més
més baixos
baixos de
de felicitat
felicitat i
i més
més dificultats
dificultats socials
socials i
i emocionals
emocionals que
que els
els nois
nois a
a mesura
mesura que
que van
van creixent
creixent Les
Les noies
noies solen
solen tendir
tendir més
més a
a comparar
comparar se
se amb
amb altres
altres noies
noies que
que els
els nois
nois amb
amb altres
altres nois
nois i
i això
això té
té efectes
efectes negatius
negatius diferencials
diferencials entre
entre ells
ells i
i elles
elles Aquestes
Aquestes dinàmiques
dinàmiques de
de comparació
comparació social
social que
que estableixen
estableixen les
les noies
noies entre
entre elles
elles es
es veuen
veuen reforçades
reforçades i
i sobretot
sobretot fomentades
fomentades en
en les
les xarxes
xarxes socials
socials amb
amb els
els efectes
efectes negatius
negatius que
que se
se n
n deriven
deriven Diverses
Diverses teories
teories de
de psicologia
psicologia social
social la
la teoria
teoria de
de la
la justificació
justificació del
del sistema
sistema la
la teoria
teoria de
de la
la competitivitat
competitivitat social
social i
i altres
altres expliquen
expliquen els
els motius
motius pels
pels quals
quals els
els grups
grups subordinats
subordinats es
es comparen
comparen i
i competeixen
competeixen més
més entre
entre ells
ells en
en comptes
comptes d
d ajudar
ajudar se
se Les
Les dones
dones configuren
configuren un
un grup
grup social
social devaluat
devaluat el
el patriarcat
patriarcat les
les devalua
devalua per
per mitjà
mitjà dels
dels sexismes
sexismes benvolent
benvolent i
i hostil
hostil i
i les
les dinàmiques
dinàmiques comparatives
comparatives i
i competitives
competitives que
que es
es manifesten
manifesten entre
entre elles
elles es
es posen
posen sobretot
sobretot en
en evidència
evidència en
en les
les personalitats
personalitats narcisistes
narcisistes vulnerables
vulnerables mancades
mancades d
d autoestima
autoestima i
i necessitades
necessitades de
de reconeixement
reconeixement Les
Les investigacions
investigacions demostren
demostren que
que aquesta
aquesta comparació
comparació social
social de
de les
les dones
dones present
present en
en les
les xarxes
xarxes socials
socials és
és una
una dinàmica
dinàmica activa
activa i
i en
en part
part agressiva
agressiva profundament
profundament associada
associada al
al narcisisme
narcisisme femení
femení Investigacions
Investigacions molt
molt recents
recents ens
ens indiquen
indiquen que
que les
les dones
dones són
són molt
molt més
més proclius
proclius a
a utilitzar
utilitzar tàctiques
tàctiques d
d auto
auto presentació
presentació intimidatòries
intimidatòries que
que els
els homes
homes Sens
Sens dubte
dubte els
els trets
trets narcisistes
narcisistes grandiloqüents
grandiloqüents i
i agressius
agressius estan
estan directament
directament relacionats
relacionats amb
amb l
l increment
increment de
de selfies
selfies que
que s
s observa
observa en
en les
les noies
noies Aquestes
Aquestes conductes
conductes narcisistes
narcisistes comporten
comporten automàticament
automàticament un
un augment
augment de
de l
l agressió
agressió femenina
femenina sobretot
sobretot entre
entre dones
dones i
i també
també problemes
problemes molt
molt preocupants
preocupants per
per a
a les
les narcisistes
narcisistes vulnerables
vulnerables ja
ja que
que es
es veuen
veuen empeses
empeses a
a manifestacions
manifestacions cada
cada cop
cop més
més sexualitzades
sexualitzades del
del seu
seu jo
jo Un
Un potser
potser el
el principal
principal reforç
reforç d
d aquestes
aquestes conductes
conductes són
són els
els likes
likes que
que rep
rep la
la usuària
usuària Per
Per a
a elles
elles rebre
rebre molts
molts likes
likes és
és un
un reforç
reforç que
que en
en un
un bucle
bucle dona
dona ales
ales a
a un
un reforç
reforç del
del narcisisme
narcisisme agressiu
agressiu Però
Però és
és clar
clar no
no rebre
rebre likes
likes o
o cors
cors o
o rebre
rebre n
n pocs
pocs pot
pot ser
ser igual
igual de
de dolent
dolent per
per a
a aquest
aquest grup
grup de
de narcisistes
narcisistes vulnerables
vulnerables ja
ja que
que les
les empeny
empeny a
a un
un augment
augment temporal
temporal del
del nivell
nivell d
d activitat
activitat i
i agressió
agressió un
un fenomen
fenomen que
que els
els psicòlegs
psicòlegs socials
socials coneixem
coneixem molt
molt bé
bé atesos
atesos els
els experiments
experiments realitzats
realitzats al
al laboratori
laboratori amb
amb animals
animals També
També significa
significa un
un seguit
seguit d
d impactes
impactes negatius
negatius en
en la
la fisiologia
fisiologia i
i el
el sistema
sistema immunitari
immunitari d
d aquestes
aquestes noies
noies conseqüència
conseqüència de
de l
l acció
acció de
de les
les hormones
hormones de
de l
l estrès
estrès un
un efecte
efecte conegut
conegut de
de l
l addicció
addicció a
a Internet
Internet L
L atac
atac que
que representa
representa a
a l
l autoestima
autoestima la
la ràbia
ràbia i
i l
l angoixa
angoixa que
que senten
senten les
les persones
persones narcisistes
narcisistes quan
quan no
no obtenen
obtenen l
l aprovació
aprovació social
social anhelada
anhelada comporta
comporta que
que augmentin
augmentin l
l activitat
activitat de
de publicació
publicació i
i les
les conductes
conductes cibernètiques
cibernètiques agressives
agressives per
per engrandir
engrandir se
se i
i protegir
protegir se
se a
a si
si mateixes
mateixes Em
Em sembla
sembla que
que ens
ens convé
convé educar
educar la
la població
població especialmente
especialmente la
la cohort
cohort dels
dels i
i de
de les
les joves
joves en
en el
el desenvolupament
desenvolupament d
d una
una mirada
mirada crítica
crítica i
i reflexiva
reflexiva a
a tot
tot allò
allò que
que les
les persones
persones mostren
mostren en
en les
les xarxes
xarxes sociales
sociales És
És important
important transmetre
transmetre ls
ls que
que les
les imatges
imatges que
que veuen
veuen representen
representen un
un ideal
ideal que
que s
s ajusta
ajusta molt
molt poc
poc a
a la
la realitat
realitat Que
Que en
en realitat
realitat aquests
aquests ideals
ideals tenen
tenen a
a veure
veure amb
amb expressions
expressions de
de narcisisme
narcisisme patològic
patològic Maria
Maria Àngels
Àngels Viladot
Viladot Maria
Maria Àngels
Àngels Viladot
Viladot Opinión
Opinión Això
Això s
s ha
ha d
d acabar
acabar Alcarràs
Alcarràs de
de Carla
Carla Simón
Simón Reciclem
Reciclem la
la diada
diada de
de Sant
Sant Jordi
Jordi 23
23 d
d abril
abril EL
EL HUFFPOST
HUFFPOST PARA
PARA PMS
PMS La
La inversión
inversión en
en ciencia
ciencia y
y tecnología
tecnología de
de Philip
Philip Morris
Morris es
es fundamental
fundamental para
para lograr
lograr el
el objetivo
objetivo de
de un
un futuro
futuro sin
sin humo
humo Innovación
Innovación con
con propósito
propósito hacia
hacia un
un futuro
futuro sin
sin humo
humo Newsletter
Newsletter Recibe
Recibe las
las notificaciones
notificaciones más
más importantes
importantes en
en tu
tu correo
correo apúntate
apúntate a
a nuestro
nuestro boletín
boletín Últimas
Últimas noticias
noticias Y
Y ahora
ahora qué
qué el
el incierto
incierto escenario
escenario que
que se
se abre
abre en
en Venezuela
Venezuela tras
tras la
la captura
captura de
de Maduro
Maduro por
por parte
parte de
de EEUU
EEUU Y
Y ahora
ahora qué
qué el
el incierto
incierto escenario
escenario que
que se
se abre
abre en
en Venezuela
Venezuela tras
tras la
la captura
captura de
de Maduro
Maduro por
por parte
parte de
de EEUU
EEUU Imputan
Imputan por
por homicidio
homicidio negligente
negligente a
a los
los gerentes
gerentes del
del bar
bar Le
Le Constellation
Constellation de
de Suiza
Suiza en
en el
el que
que murieron
murieron 40
40 personas
personas Imputan
Imputan por
por homicidio
homicidio negligente
negligente a
a los
los gerentes
gerentes del
del bar
bar Le
Le Constellation
Constellation de
de Suiza
Suiza en
en el
el que
que murieron
murieron 40
40 personas
personas Fernando
Fernando Tejero
Tejero cuenta
cuenta cómo
cómo vivió
vivió el
el 23
23 F
F y
y la
la anécdota
anécdota familiar
familiar que
que dejará
dejará a
a más
más de
de uno
uno a
a cuadros
cuadros Fernando
Fernando Tejero
Tejero cuenta
cuenta cómo
cómo vivió
vivió el
el 23
23 F
F y
y la
la anécdota
anécdota familiar
familiar que
que dejará
dejará a
a más
más de
de uno
uno a
a cuadros
cuadros Un
Un chef
chef renuncia
renuncia a
a la
la estrella
estrella Michelín
Michelín de
de su
su restaurante
restaurante en
en Soria
Soria para
para abrir
abrir uno
uno en
en su
su pueblo
pueblo La
La meta
meta es
es hacer
hacer lo
lo máximo
máximo felices
felices a
a mis
mis clientes
clientes Un
Un chef
chef renuncia
renuncia a
a la
la estrella
estrella Michelín
Michelín de
de su
su restaurante
restaurante en
en Soria
Soria para
para abrir
abrir uno
uno en
en su
su pueblo
pueblo La
La meta
meta es
es hacer
hacer lo
lo máximo
máximo felices
felices a
a mis
mis clientes
clientes Quién
Quién es
es Cilia
Cilia Flores
Flores la
la mujer
mujer de
de Maduro
Maduro y
y primera
primera combatiente
combatiente del
del chavismo
chavismo Quién
Quién es
es Cilia
Cilia Flores
Flores la
la mujer
mujer de
de Maduro
Maduro y
y primera
primera combatiente
combatiente del
del chavismo
chavismo Jorge
Jorge de
de ingeniero
ingeniero a
a viticultor
viticultor lanza
lanza una
una advertencia
advertencia sobre
sobre lo
lo que
que está
está pasando
pasando en
en los
los restaurantes
restaurantes de
de España
España Nos
Nos estamos
estamos cavando
cavando una
una tumba
tumba Jorge
Jorge de
de ingeniero
ingeniero a
a viticultor
viticultor lanza
lanza una
una advertencia
advertencia sobre
sobre lo
lo que
que está
está pasando
pasando en
en los
los restaurantes
restaurantes de
de España
España Nos
Nos estamos
estamos cavando
cavando una
una tumba
tumba Un
Un perro
perro desaparece
desaparece en
en 2021
2021 y
y aparece
aparece ahora
ahora a
a 3
3 700
700 km
km de
de su
su casa
casa El
El milagro
milagro de
de la
la Navidad
Navidad Un
Un perro
perro desaparece
desaparece en
en 2021
2021 y
y aparece
aparece ahora
ahora a
a 3
3 700
700 km
km de
de su
su casa
casa El
El milagro
milagro de
de la
la Navidad
Navidad Pedro
Pedro Ruiz
Ruiz no
no se
se corta
corta y
y describe
describe a
a la
la perfección
perfección a
a los
los Estopa
Estopa tras
tras liderar
liderar las
las Campanadas
Campanadas en
en TVE
TVE Pedro
Pedro Ruiz
Ruiz no
no se
se corta
corta y
y describe
describe a
a la
la perfección
perfección a
a los
los Estopa
Estopa tras
tras liderar
liderar las
las Campanadas
Campanadas en
en TVE
TVE Qué
Qué ha
ha dicho
dicho Trump
Trump en
en su
su comparecencia
comparecencia sobre
sobre el
el ataque
ataque a
a Venezuela
Venezuela y
y la
la detención
detención de
de Maduro
Maduro Vamos
Vamos a
a dirigir
dirigir el
el país
país Qué
Qué ha
ha dicho
dicho Trump
Trump en
en su
su comparecencia
comparecencia sobre
sobre el
el ataque
ataque a
a Venezuela
Venezuela y
y la
la detención
detención de
de Maduro
Maduro Vamos
Vamos a
a dirigir
dirigir el
el país
país El
El investigador
investigador Gonzalo
Gonzalo Fanjul
Fanjul plantea
plantea un
un escenario
escenario que
que podría
podría paralizar
paralizar España
España en
en horas
horas La
La catástrofe
catástrofe económica
económica sería
sería de
de una
una envergadura
envergadura extraordinaria
extraordinaria El
El investigador
investigador Gonzalo
Gonzalo Fanjul
Fanjul plantea
plantea un
un escenario
escenario que
que podría
podría paralizar
paralizar España
España en
en horas
horas La
La catástrofe
catástrofe económica
económica sería
sería de
de una
una envergadura
envergadura extraordinaria
extraordinaria Más
Más de
de Opinión
Opinión Trump
Trump el
el zar
zar desorientado
desorientado de
de las
las Américas
Américas Trump
Trump el
el zar
zar desorientado
desorientado de
de las
las Américas
Américas Trump
Trump secuestra
secuestra el
el alma
alma de
de América
América Trump
Trump secuestra
secuestra el
el alma
alma de
de América
América Cena
Cena de
de Nochebuena
Nochebuena antisistema
antisistema Cena
Cena de
de Nochebuena
Nochebuena antisistema
antisistema Incomodar
Incomodar al
al poder
poder no
no a
a la
la verdad
verdad Incomodar
Incomodar al
al poder
poder no
no a
a la
la verdad
verdad BUTTON
BUTTON Política
Política Economía
Economía Global
Global Opinión
Opinión LGTBI
LGTBI Planeta
Planeta Tecnología
Tecnología Deporte
Deporte Medios
Medios Life
Life Influencers
Influencers y
y Celebrities
Celebrities Consumo
Consumo Salud
Salud Hij
Hij s
s Sexo
Sexo Viajes
Viajes Fashion
Fashion Animales
Animales Cultura
Cultura Virales
Virales Sociedad
Sociedad El
El tiempo
tiempo vídeos
vídeos Loterías
Loterías Píllalo
Píllalo ÚLTIMAS
ÚLTIMAS NOTICIAS
NOTICIAS El
El televisero
televisero Noticias
Noticias Trabajo
Trabajo newsletter
newsletter Síguenos
Síguenos Facebook
Facebook Tiktok
Tiktok Twitter
Twitter Instagram
Instagram Youtube
Youtube Gnews
Gnews TerminosPolíticas
TerminosPolíticas de
de privacidad
privacidad quienes
quienes somoscontactonewsletterrss
somoscontactonewsletterrss Configuración
Configuración de
de cookies
cookies política
política de
de cookiesaviso
cookiesaviso legalpolítica
legalpolítica de
de privacidadACcesibilidad
privacidadACcesibilidad PRISA
PRISA MEDIA
MEDIA S
S A
A U
U ejerce
ejerce la
la oposición
oposición expresa
expresa frente
frente al
al uso
uso de
de sus
sus obras
obras y
y prestaciones
prestaciones en
en la
la elaboración
elaboración de
de revistas
revistas de
de prensa
prensa prevista
prevista en
en el
el artículo
artículo 32
32 1
1 del
del TRLPI
TRLPI también
también realiza
realiza la
la reserva
reserva expresa
expresa frente
frente a
a la
la reproducción
reproducción distribución
distribución y
y comunicación
comunicación pública
pública de
de sus
sus trabajos
trabajos y
y artículos
artículos sobre
sobre temas
temas de
de actualidad
actualidad prevista
prevista en
en el
el artículo
artículo 33
33 1
1 del
del TRLPI
TRLPI y
y asimismo
asimismo realiza
realiza una
una reserva
reserva expresa
expresa de
de las
las reproducciones
reproducciones y
y usos
usos de
de las
las obras
obras y
y otras
otras prestaciones
prestaciones accesibles
accesibles desde
desde este
este sitio
sitio web
web a
a medios
medios de
de lectura
lectura mecánica
mecánica u
u otros
otros medios
medios que
que resulten
resulten adecuados
adecuados a
a tal
tal fin
fin de
de conformidad
conformidad con
con el
el artículo
artículo 67
67 3
3 del
del Real
Real Decreto
Decreto ley
ley 24
24 2021
2021 de
de 2
2 de
de noviembre
noviembre PRISA
PRISA MEDIA
MEDIA S
S A
A U
U Todos
Todos los
los derechos
derechos reservados
reservados El
El HuffPost
HuffPost Una
Una empresa
empresa de
de PRISA
PRISA Medios
Medios Grupo
Grupo Prisa
Prisa El
El PAÍS
PAÍS Los
Los 40
40 principales
principales Santillana
Santillana Santillana
Santillana Compartir
Compartir Cadena
Cadena SER
SER AS
AS com
com adn
adn Caracol
Caracol Huffington
Huffington Post
Post UNO
UNO wradio
wradio Cinco
Cinco Días
Días Cadena
Cadena Dial
Dial EL
EL PAÍS
PAÍS Semanal
Semanal Planeta
Planeta futuro
futuro Kebuena
Kebuena Richmond
Richmond Moderna
Moderna Podium
Podium podcasts
podcasts El
El PaÍs
PaÍs ICON
ICON S
S moda
moda loqueleo
loqueleo Meristation
Meristation Webs
Webs de
de PRISA
PRISA cerrar
cerrar ventana
ventana IFRAME
IFRAME https
https www
www prisacom
prisacom com
com comunes
comunes piecomun
piecomun v9
v9 i
i pie
pie comun
comun enlaces
enlaces k
k html
html cerrar
